HSTR_MNNMB,ETC_PCMTT,임도명,시설거리(km),개설연도,FRRD_FCLTW,FRRD_DV_I,FRRD_DV_B,FRRD_INSTT,FRRD_MGC,FRRD_RGSNO,RBP_X,RBP_Y,REP_X,REP_Y,MAP_LABEL,FR_TH_DV,FR_TH_YR,FRRD_THM,Shape_Leng,지역,위도,경도,상세주소,읍면동
0.0,,24발산,1.2,2024,3.0,1,2,61,1400438,북부_춘천_2024_12,1011281.3093,1968908.2418,1010952.4626,1969321.9594,24춘천_12,,,,1297.34426511,강원특별자치도,37.719696907604764,127.62800690768876,"한덕발산길, 남면, 춘천시, 강원특별자치도, 24469, 대한민국",
0.0,,24한덕,2.0,2024,4.5,1,3,61,1400438,북부_춘천_2024_01,1012824.50429,1969299.65773,1011760.347,1969132.1605,24춘천_01,,,,1936.85978589,강원특별자치도,37.723204544000694,127.64552410563687,"산수리, 춘천시, 강원특별자치도, 24467, 대한민국",산수리
0.0,,24운계,1.1,2024,4.5,1,3,61,1400441,북부_홍천_2024_07,1037378.762,1912338.7043,1037710.4474,1912994.0064,24홍천_07,,,,1140.91499992,강원특별자치도,37.2091153707283,127.92125445418408,"운계리, 원주시, 강원특별자치도, 26501, 대한민국",운계리
0.0,,24매지,1.84,2024,4.5,1,3,61,1400441,북부_홍천_2024_06,1037793.3358,1915798.3572,1037487.2554,1915125.6096,24홍천_06,,,,2077.00207464,강원특별자치도,37.24028341251339,127.92610194711749,"매지임도, 흥업면, 원주시, 강원특별자치도, 26494, 대한민국",흥업면
0.0,매지테마임도,98매지,3.01,1998,4.0,1,1,61,1400441,북부_홍천_1998_02,1035325.92,1915797.5582,1036878.2468,1916064.8323,98홍천_02,5,2009,레포츠_09_매지,2944.91713198,강원특별자치도,37.24037303979225,127.89828360044577,"북원로, 흥업면, 원주시, 강원특별자치도, 26500, 대한민국",흥업면
0.0,매지테마임도,99매지,3.96,1999,4.0,1,1,61,1400441,북부_홍천_1999_01,1036878.2468,1916064.8323,1037079.873,1916586.5616,99홍천_01,5,2009,레포츠_09_매지,3829.808522,강원특별자치도,37.24272204544597,127.91579819793007,"매지임도, 흥업면, 원주시, 강원특별자치도, 26494, 대한민국",흥업면
0.0,,17운남-운계,0.92,2017,4.0,1,1,61,1400441,북부-홍천-2017-07,1035496.5976,1911937.3777,1036003.4323,1912284.2717,17홍천_07,,,,1071.86367338,강원특별자치도,37.205571388748325,127.90002406170953,"운계다둔길, 귀래면, 원주시, 강원특별자치도, 26501, 대한민국",귀래면
0.0,,16운남,2.1,2016,4.0,1,1,61,1400441,북부-홍천-2016-06,1036003.4323,1912284.2717,1036950.4859,1912692.9819,16홍천_06,,,,2009.46636673,강원특별자치도,37.20867882719747,127.90575237703784,"운계다둔길, 귀래면, 원주시, 강원특별자치도, 26501, 대한민국",귀래면
0.0,,15운남,2.1,2015,4.0,1,1,61,1400441,북부_홍천_2015_07,1036950.4859,1912692.9819,1037497.1322,1912071.9787,15홍천_07,,,,2095.91964193,강원특별자치도,37.21232584877998,127.91644549730282,"운계리, 원주시, 강원특별자치도, 26501, 대한민국",운계리
0.0,,24병지방,1.4,2024,4.5,1,3,61,1400441,북부_홍천_2024_05,1051349.31263,1953618.66535,1051807.48,1954067.9226,24홍천_05,,,,1456.3407675,강원특별자치도,37.58052218843901,128.08156230158065,"삼거리, 갑천면, 횡성군, 강원특별자치도, 25252, 대한민국",갑천면
