지역,임도명,시설거리(km),개설연도,위도,경도,상세주소,읍면동
강원특별자치도,87도사곡,0.57,1987,37.69785529380382,127.80678248511444,"도사곡리, 북방면, 홍천군, 강원특별자치도, 25116, 대한민국",북방면
강원특별자치도,23오원,2.2,2023,37.436194648406506,128.1246474683073,"오원리, 우천면, 횡성군, 강원특별자치도, 25250, 대한민국",우천면
강원특별자치도,22오원,0.6,2022,37.43974474742797,128.12557471151538,"오원리, 우천면, 횡성군, 강원특별자치도, 25250, 대한민국",우천면
강원특별자치도,22매지,1.22,2022,37.24583620550082,127.92695754619302,"매지임도, 흥업면, 원주시, 강원특별자치도, 26494, 대한민국",흥업면
강원특별자치도,23매지2,1.3,2023,37.24981754625362,127.9267515252483,"매지임도, 흥업면, 원주시, 강원특별자치도, 26494, 대한민국",흥업면
강원특별자치도,23매지1,2.08,2023,37.25525250514298,127.92711415997536,"매지리, 원주시, 강원특별자치도, 26494, 대한민국",매지리
강원특별자치도,22매지,0.8,2022,37.27025016112958,127.93101837683162,"매지리, 원주시, 강원특별자치도, 26494, 대한민국",매지리
강원특별자치도,21서곡Ⅰ,1.1,2021,37.26810387254599,127.9352720304193,"국립백운산자연휴양림산림문화휴양관A동, 백운산길, 판부면, 원주시, 강원특별자치도, 26402, 대한민국",판부면
강원특별자치도,21서곡,1.1,2021,37.26121123075339,127.94115088760368,"백운산길, 판부면, 원주시, 강원특별자치도, 26402, 대한민국",판부면
강원특별자치도,97서곡,7.72,1997,37.26098802708037,127.9644543778723,"백운산길, 판부면, 원주시, 강원특별자치도, 26402, 대한민국",판부면
강원특별자치도,14상안,3.14,2014,37.46696058297556,128.249566358373,"방림면, 평창군, 강원특별자치도, 대한민국",방림면
강원특별자치도,13상안,3.3,2013,37.45471837287262,128.23845361994717,"조항리, 둔내면, 횡성군, 강원특별자치도, 25267, 대한민국",둔내면
강원특별자치도,12상안,3.0,2012,37.43696829827018,128.24502646996015,"안흥면, 횡성군, 강원특별자치도, 대한민국",안흥면
강원특별자치도,19운남,2.16,2019,37.179129639261525,127.93286525760594,"화당로, 귀래면, 원주시, 강원특별자치도, 27100, 대한민국",귀래면
강원특별자치도,17운남,3.5,2017,37.18952996707464,127.92598761484764,"운남리, 원주시, 강원특별자치도, 26503, 대한민국",운남리
강원특별자치도,11운남,2.94,2011,37.19879633220182,127.9174501865238,"운계리, 원주시, 강원특별자치도, 26501, 대한민국",운계리
강원특별자치도,83운남,3.66,1983,37.18231114657291,127.91077583355828,"운남길, 귀래면, 원주시, 강원특별자치도, 26503, 대한민국",
강원특별자치도,14구성포,3.5,2014,37.79068005197334,127.88411749181478,"풍천리, 화촌면, 홍천군, 강원특별자치도, 25156, 대한민국",화촌면
강원특별자치도,17가정(추경),0.9,2017,37.77242079218637,127.57722784880168,"가정리, 춘천시, 강원특별자치도, 24468, 대한민국",가정리
강원특별자치도,17가정,1.6,2017,37.770721391983095,127.57670609376144,"12, 남면, 춘천시, 강원특별자치도, 24468, 대한민국",
강원특별자치도,17가정2,3.5,2017,37.771591744728056,127.59898602941554,"가정리, 춘천시, 강원특별자치도, 24468, 대한민국",가정리
강원특별자치도,18가정,3.5,2018,37.773645235587,127.5873786586062,"가정리, 춘천시, 강원특별자치도, 24468, 대한민국",가정리
강원특별자치도,17가정1,1.99,2017,37.75081325796594,127.59477303795796,"가정리, 춘천시, 강원특별자치도, 24468, 대한민국",가정리
강원특별자치도,16가정,2.1,2016,37.75985462042608,127.59709605607608,"가정리, 춘천시, 강원특별자치도, 24468, 대한민국",가정리
강원특별자치도,15가정,2.1,2015,37.76749414085945,127.59411680827928,"가정리, 춘천시, 강원특별자치도, 24468, 대한민국",가정리
강원특별자치도,89강촌,8.5,1989,37.79680855506819,127.61654339108244,"강촌문배길, 남산면, 춘천시, 강원특별자치도, 24465, 대한민국",
강원특별자치도,93백양,8.68,1993,37.78500175128811,127.58227525107576,"남산면, 춘천시, 강원특별자치도, 24464, 대한민국",
강원특별자치도,18백양,1.26,2018,37.79639130599906,127.58009691197488,"서백길, 남산면, 춘천시, 강원특별자치도, 24464, 대한민국",
강원특별자치도,14판대,1.5,2014,37.41001400104072,127.79805435203764,"구재로, 지정면, 원주시, 강원특별자치도, 26357, 대한민국",지정면
강원특별자치도,90장전평,1.0,1990,37.62889286982431,127.86222590716991,"높은터로, 장전평리, 홍천읍, 홍천군, 강원특별자치도, 25118, 대한민국",홍천읍
강원특별자치도,11상오안,2.25,2011,37.63853001213072,127.83057838526564,"상오안리, 홍천읍, 홍천군, 강원특별자치도, 25117, 대한민국",홍천읍
강원특별자치도,10상오안,3.18,2010,37.64412329096726,127.81725910065768,"상오안리, 홍천읍, 홍천군, 강원특별자치도, 25117, 대한민국",홍천읍
강원특별자치도,94상오안,0.38,1994,37.650938994255874,127.82505006382422,"상오안리, 홍천읍, 홍천군, 강원특별자치도, 25117, 대한민국",홍천읍
강원특별자치도,94하오안,8.36,1994,37.67205679695247,127.84302653423596,"하오안리, 홍천읍, 홍천군, 강원특별자치도, 25117, 대한민국",홍천읍
강원특별자치도,68도사곡,9.0,1968,37.64057987048335,127.79940981743258,"상오안리, 홍천읍, 홍천군, 강원특별자치도, 25117, 대한민국",홍천읍
강원특별자치도,91상오안,18.2,1991,37.61803147907109,127.86348997888896,"삼마치리, 홍천읍, 홍천군, 강원특별자치도, 25118, 대한민국",홍천읍
강원특별자치도,89장전평,1.63,1989,37.61099201513234,127.86396303566052,"높은터로, 삼마치리, 홍천읍, 홍천군, 강원특별자치도, 25118, 대한민국",홍천읍
강원특별자치도,92월운,7.02,1992,37.620124802377866,127.92402964197096,"월운리, 영귀미면, 홍천군, 강원특별자치도, 25153, 대한민국",영귀미면
강원특별자치도,93월운,5.46,1993,37.62474537627358,127.94823628448188,"중앙고속도로, 월운리, 영귀미면, 홍천군, 강원특별자치도, 25153, 대한민국",영귀미면
강원특별자치도,91삼마치,6.47,1991,37.59551433255005,127.90116215974746,"삼마치리, 공근면, 횡성군, 강원특별자치도, 25119, 대한민국",공근면
강원특별자치도,11유현,0.9,2011,37.52318766718516,127.80733285821776,"서원서로, 서원면, 횡성군, 강원특별자치도, 25200, 대한민국",서원면
강원특별자치도,14창촌,2.8,2014,37.50002289628007,127.83799992884587,"서원면, 횡성군, 강원특별자치도, 25201, 대한민국",서원면
강원특별자치도,92창촌,9.18,1992,37.494781642033146,127.8426146258603,"서원면, 횡성군, 강원특별자치도, 25201, 대한민국",서원면
강원특별자치도,94손곡,2.16,1994,37.1983602920701,127.8182188475087,"손곡리, 원주시, 강원특별자치도, 26498, 대한민국",손곡리
강원특별자치도,94상안,6.16,1994,37.39504214400621,128.18553680959968,"안흥면, 횡성군, 강원특별자치도, 25270, 대한민국",안흥면
강원특별자치도,95상안,4.0,1995,37.40131991042927,128.211549321732,"상안리, 안흥면, 횡성군, 강원특별자치도, 25270, 대한민국",안흥면
강원특별자치도,93상안,9.0,1993,37.3922661961512,128.2327187453773,"상안리, 안흥면, 횡성군, 강원특별자치도, 25270, 대한민국",안흥면
강원특별자치도,13원창,2.9,2013,37.80491210635533,127.75512619311009,"구암길, 동산면, 춘천시, 강원특별자치도, 24409, 대한민국",동산면
강원특별자치도,90방하,2.7,1990,37.751249597249085,127.54303381637388,"5, 남산면, 춘천시, 강원특별자치도, 24464, 대한민국",
강원특별자치도,21가정,2.3,2021,37.76339529116775,127.55953203723502,"방하로, 남면, 춘천시, 강원특별자치도, 24464, 대한민국",
강원특별자치도,93슬어니,2.62,1993,37.76961599241923,127.55546086382226,"방하로, 남산면, 춘천시, 강원특별자치도, 24464, 대한민국",
강원특별자치도,95방하(Ⅱ),3.97,1995,37.76961599241923,127.55546086382226,"방하로, 남산면, 춘천시, 강원특별자치도, 24464, 대한민국",
강원특별자치도,95방하(Ⅰ),9.3,1995,37.78536220736034,127.55402787783768,"방하리, 춘천시, 강원특별자치도, 24464, 대한민국",방하리
강원특별자치도,96운남,1.71,1996,37.17774188071253,127.92334617313824,"내창로, 귀래면, 원주시, 강원특별자치도, 26503, 대한민국",귀래면
강원특별자치도,09상오안,2.06,2009,37.61828377415642,127.84554657733705,"장전평리, 홍천읍, 홍천군, 강원특별자치도, 25118, 대한민국",홍천읍
