amount,ctprvn_cd,objt_id,end_tm,emd_cd,occu_mt,rn_adres,ar,end_de,sgg_cd,occu_year,occu_de,x,y,adres,resn,occu_day,end_mt,occu_date,end_year,occu_tm,가까운_지점,가까운_기상지점명,기상지점거리_km,지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),일시_dt,지점_clean,지점주소_x,시작일,종료일,지점주소_y,위도,경도
2247.0,46,4530,1530,46780253,4,,0,22,46780,2020,22,127.4690619,34.788051,전라남도 보성군 벌교읍 장도리 산43,밭두렁소각,수요일,4.0,2020-04-22,2020,1241,748,벌교,11.094313958060074,748.0,벌교,2020-04-22,8.8,0.0,4.5,2020-04-22,벌교,전라남도 보성군 벌교읍 장양리,2011-11-17,2024-10-15,전라남도 보성군 벌교읍,34.8369,127.3631
569.0,41,4529,1420,41670350,4,,0,22,41670,2020,22,127.630185,37.3560682,경기도 여주시 대신면 하림리 산103-17,원인미상,수요일,4.0,2020-04-22,2020,1233,574,대신,4.08618819440541,574.0,대신,2020-04-22,5.7,0.0,3.9,2020-04-22,대신,경기도 여주시 대신면 초현리,2015-07-13,2020-10-09,경기도 여주시 대신면 초현리,37.3694,127.5871
1497.0,44,4528,1420,44210390,4,,0,19,44210,2020,19,126.5898416,36.7086889,충청남도 서산시 해미면 산수리 산28-1,입산자실화,일요일,4.0,2020-04-19,2020,1240,694,원효봉,1.8075952866088685,694.0,원효봉,2020-04-19,7.1,14.0,8.0,2020-04-19,원효봉,충청남도 예산군 덕산면 대치리,2002-12-16,2022-10-21,충청남도 예산군 덕산면 대치리,36.7044,126.6094
10950.0,44,6028,1700,44131310,3,-,0,11,44131,2023,11,127.1191,36.73285,충청남도 천안시 동남구 풍세면 보성리 372-11,쓰레기소각,토요일,3.0,2023-03-11,2023,1535,629,세종전의,8.63201495498673,629.0,세종전의,2023-03-11,14.7,0.0,2.0,2023-03-11,세종전의,세종특별자치시 전의면 읍내리,2020-10-08,2099-12-31,세종특별자치시 전의면 읍내리,36.6908,127.2005
48067.0,44,6027,1310,44131250,4,-,1,4,44131,2023,4,127.19628,36.80535,충청남도 천안시 동남구 목천읍 지산리 산 29,입산자실화,화요일,4.0,2023-04-04,2023,545,617,직산,8.854579468981001,617.0,직산,2023-04-04,16.7,7.5,1.3,2023-04-04,직산,충청남도 천안시 서북구 직산읍 군서리,2021-10-15,2023-10-13,충청남도 천안시 서북구 성거읍 신월리,36.8782,127.1561
4827.0,44,6026,1630,44131250,3,-,0,20,44131,2023,20,127.17432,36.74469,충청남도 천안시 동남구 목천읍 도장리 산 130-1,전기누전,월요일,3.0,2023-03-20,2023,1450,629,세종전의,6.4306142888170665,629.0,세종전의,2023-03-20,7.3,0.0,1.0,2023-03-20,세종전의,세종특별자치시 전의면 읍내리,2020-10-08,2099-12-31,세종특별자치시 전의면 읍내리,36.6908,127.2005
104844.0,44,6025,1852,44131250,4,-,2,2,44131,2023,2,127.22595,36.83319,충청남도 천안시 동남구 목천읍 송전리 325-3,입산자실화(향불),일요일,4.0,2023-04-02,2023,956,617,직산,7.979454307072779,617.0,직산,2023-04-02,18.3,0.0,1.0,2023-04-02,직산,충청남도 천안시 서북구 직산읍 군서리,2021-10-15,2023-10-13,충청남도 천안시 서북구 성거읍 신월리,36.8782,127.1561
61458.0,44,6024,1430,44131116,3,-,1,11,44131,2023,11,127.1252,36.77057,충청남도 천안시 동남구 신방동 504-6,밭두렁소각,토요일,3.0,2023-03-11,2023,1203,493,송악,11.110588362463602,493.0,송악,2023-03-11,15.5,0.0,2.8,2023-03-11,송악,충청남도 아산시 송악면 역촌리,2022-05-13,2099-12-31,충청남도 아산시 송악면 역촌리,36.7362,127.0081
12863.0,44,6023,0,44131115,4,-,0,3,44131,2023,3,127.14341,36.79577,충청남도 천안시 동남구 용곡동 344-94,입산자실화,월요일,4.0,2023-04-03,2023,2139,617,직산,9.235109687723265,617.0,직산,2023-04-03,18.1,0.0,1.1,2023-04-03,직산,충청남도 천안시 서북구 직산읍 군서리,2021-10-15,2023-10-13,충청남도 천안시 서북구 성거읍 신월리,36.8782,127.1561
90697.0,43,6022,1420,43800350,3,-,2,22,43800,2023,22,128.26346,36.954369,충청북도 단양군 적성면 성곡리 95,입산자실화추정,수요일,3.0,2023-03-22,2023,1220,621,수산,4.856497613170121,621.0,수산,2023-03-22,14.6,0.0,1.0,2023-03-22,수산,충청북도 제천시 수산면 하천리,2021-07-31,2099-12-31,충청북도 제천시 수산면 하천리,36.9733,128.2142
