amount,ctprvn_cd,objt_id,end_tm,emd_cd,occu_mt,rn_adres,ar,end_de,sgg_cd,occu_year,occu_de,x,y,adres,resn,occu_day,end_mt,occu_date,end_year,occu_tm
16037,46,4344,1925,46710390,03,,0,23,46710,2020,23,14132129.8,4212558.792,전라남도 담양군 월산면 월평리 산1-1,쓰레기소각,월요일,03,20200323,2020,1427
486,41,4342,1420,41830340,03,,0,23,41830,2020,23,14195395.91,4517134.219,경기도 양평군 옥천면 용천리 산29-21,소각재 투기,월요일,03,20200323,2020,1316
46207,41,4341,1800,41830380,03,,1,23,41830,2020,23,14218017.32,4496281.014,경기도 양평군 양동면 단석리 산70,입산자실화추정,월요일,03,20200323,2020,1314
533237,31,4340,2100,31710370,03,,11,23,31710,2020,23,14378717.09,4256187.576,울산광역시 울주군 두서면 전읍리 산3,쓰레기소각,월요일,03,20200323,2020,1309
981,45,4339,1400,45750250,03,,0,23,45750,2020,23,14166749.87,4238436.769,전라북도 임실군 임실읍 신정리 64,양수기과열,월요일,03,20200323,2020,1225
2817,41,4338,1245,41610259,03,,0,23,41610,2020,23,14178070.27,4494620.022,경기도 광주시 곤지암읍 열미리리 산72-1,담뱃불실화,월요일,03,20200323,2020,1112
599,26,4337,0330,26290106,03,,0,23,26290,2020,23,14370302.64,4183266.63,부산광역시 남구 대연동 산92-1,입산자실화,월요일,03,20200323,2020,0201
577,44,4335,1740,44710250,03,,0,22,44710,2020,22,14187559.82,4313227.267,충청남도 금산군 금산읍 양지리 산87-1,쓰레기소각,일요일,03,20200322,2020,1617
13765,41,4334,1630,41480350,03,,0,22,41480,2020,22,14124651.43,4543381.074,경기도 파주시 광탄면 용미리 산48-1,성묘객실화,일요일,03,20200322,2020,1518
945,28,4333,1520,28260101,03,,0,22,28260,2020,22,14101940.6,4520726.907,인천광역시 서구 백석동 산2-1,불법소각,일요일,03,20200322,2020,1437
9314,41,4332,1700,41250105,03,,0,22,41250,2020,22,14148524.27,4568513.39,경기도 동두천시 걸산동 산104,건축물실화,일요일,03,20200322,2020,1405
836600,47,4331,1950,47170340,03,,18,22,47170,2020,22,14313285.89,4365720.328,경상북도 안동시 풍천면 어담리 산46-1,농산폐기물소각,일요일,03,20200322,2020,1314
1155,41,3548,1540,41480250,01,,0,22,41480,2019,22,14114206.25,4560448.076,경기도 파주시 문산읍 선유리 713-6,원인미상,화요일,01,20190122,2019,1446
4681,42,3547,1715,42190113,01,,0,22,42190,2019,22,14367630.08,4460067.79,강원도 태백시 백산동 산54,입목처분지 벌채작업 중 기계톱 불씨,화요일,01,20190122,2019,1230
