발생연도,발생일자,발생시간,진화시간_분,주소,시군구,발생원인,피해면적,대형산불여부,평균기온(°C),일강수량(mm),평균 풍속(m/s),기상데이터_출처
2020,20201227,450,100.0,경기도 평택시 포송읍 도곡리 901-13,평택시,담뱃불실화,0,False,4.0,0.0,1.2,경기도 평택시 비전동
2020,20201226,1517,173.0,전라남도 화순군 춘양면 대신리 산82,화순군,성묘객실화(묘지주변부산물소각),0,False,1.075,0.0,0.825,전라남도 화순군 이양면 오류리
2020,20201225,1622,118.0,강원도 영월군 영월읍 영흥리 산131-1,영월군,입산자실화,0,False,-3.7,0.0,2.5,강원특별자치도 영월군 상동읍 내덕리
2020,20201225,1400,240.0,충청남도 천안시 동남구 병천면 관성리 산7-1,천안시,화목보일러재비화(양계장),0,False,-0.4,0.0,0.7,충청남도 천안시 서북구 직산읍 군서리
2020,20201224,2207,18.0,경기도 남양주시 화도읍 차산리 산67-1,남양주시,담뱃불실화,0,False,2.7,0.0,2.2,경기도 남양주시 진건읍 배양리
2020,20201224,2147,61.0,경기도 광주시 곤지암읍 봉현리 산9-14,광주시,담뱃불실화,0,False,2.1,0.0,1.6,경기도 광주시 송정동
2020,20201224,1729,981.0,경상북도 경주시 안강읍 옥산리 산62-4,경주시,원인미상,3,False,4.720000000000001,0.0,2.74,경상북도 경주시 황성동
2020,20201224,1559,81.0,경상북도 의성군 비안면 자락리 산129,의성군,건축물실화(주택화재),0,False,2.45,0.0,2.15,경상북도 의성군 옥산면 구성리
2020,20201224,1557,33.0,부산광역시 사하구 장림동 산164,사하구,입산자실화,0,False,7.1,0.0,3.4,부산광역시 사하구 신평동
2020,20201224,1450,47.0,인천광역시 강화군 송해면 양오리 산111,강화군,담뱃불실화,0,False,1.0666666666666669,0.0,2.3000000000000003,인천광역시 강화군 양도면 도장리
2020,20201223,1714,126.0,경기도 안양시 동안구 비산동 산101-1,안양시,입산자실화,0,False,2.235087719298246,0.0,1.1385964912280704,경기 광역 평균
2020,20201220,1157,123.0,울산광역시 울주군 서생면 나사리 산11,울주군,쓰레기소각(종이박스류),0,False,1.375,0.0,2.775,울산광역시 울주군 삼동면 금곡리
2020,20201219,1808,172.0,전라북도 순창군 동계면 어치리 산101-1,순창군,입산자실화추정,0,False,-3.8,0.0,2.65,전북특별자치도 순창군 풍산면 반월리
2023,20230121,1300,40.0,강원특별자치도 원주시 우산동 산 6-9,원주시,원인미상,0,False,-8.0,0.0,1.28,강원특별자치도 원주시 귀래면 귀래리
2020,20201219,1345,115.0,경기도 양평군 강하면 성덕리 산29-1,양평군,목재펠릿보일러재투기,0,False,-9.133333333333333,0.0,0.9333333333333336,경기도 양평군 용문면 중원리
2020,20201219,1315,70.0,경기도 구리시 인창동 산2-118,구리시,논밭두렁소각,0,False,-4.6,0.0,1.3,경기도 구리시 토평동
2020,20201218,1543,97.0,경상남도 창원시 마산회원구 회원동 산88,창원시,입산자실화추정,0,False,2.1,0.0,2.2,경상남도 창원시 마산회원구 양덕동
2020,20201218,1420,220.0,부산광역시 사하구 감천동 산66-10,사하구,담뱃불실화,0,False,2.4,0.0,2.7,부산광역시 사하구 신평동
2020,20201217,2030,90.0,충청남도 보령시 청라면 소양리 산35,보령시,입산자실화,0,False,-0.4000000000000001,0.0,2.375,충청남도 보령시 오천면 녹도리
2020,20201217,1941,399.0,경상북도 울진군 울진읍 읍남리 산31-1,울진군,화목보일러 재투기,1,False,-1.6749999999999998,0.0,4.025,경상북도 울진군 평해읍 평해리
2020,20201216,1642,88.0,경상북도 경주시 용강동 산73-3,경주시,입산자실화추정,0,False,-3.98,0.0,4.2,경상북도 경주시 황성동
2020,20201216,1445,106.0,경상북도 경주시 천북면 모아리 산40-3,경주시,원인미상,0,False,-3.98,0.0,4.2,경상북도 경주시 황성동
2020,20201215,1535,80.0,경상북도 포항시 남구 오천읍 문덕리 산46-2,포항시,원인미상,0,False,-2.8,0.0,4.8,경상북도 포항시 남구 호미곶면 대보리
2020,20201215,1517,123.0,울산광역시 울주군 청량읍 삼정리 산179-1,울주군,쓰레기소각,0,False,-3.0,0.0,3.025,울산광역시 울주군 삼동면 금곡리
2020,20201214,1540,380.0,경상남도 창녕군 도천면 덕곡리 산254,창녕군,건축물실화,1,False,-2.0,0.0,3.333333333333333,경상남도 창녕군 도천면 우강리
2020,20201213,1437,93.0,울산광역시 울주군 청량읍 율리 산34,울주군,입산자실화추정,0,False,5.05,0.0,2.85,울산광역시 울주군 삼동면 금곡리
2020,20201213,415,465.0,부산광역시 금정구 금성동 산69-4,금정구,입산자실화추정,0,False,4.1,0.0,1.8,부산광역시 금정구 두구동
2020,20201212,2337,96.0,경기도 화성시 팔탄면 창곡리 615-1,화성시,쓰레기태우기,0,False,4.2,0.0,1.0,경기도 화성시 서신면 백미리
2020,20201212,1825,95.0,강원도 홍천군 서면 모곡리 산65,홍천군,건축물실화,0,False,-1.88,0.0,1.6,(산지)강원특별자치도 홍천군 내면 명개리
2020,20201212,1516,224.0,강원도 원주시 신림면 황둔리 산35,원주시,입산자실화추정,0,False,0.0499999999999999,0.0,1.475,강원특별자치도 원주시 신림면 신림리
2020,20201210,1311,23.0,경기도 의왕시 학의동 산7,의왕시,담뱃불실화,0,False,4.2,0.0,0.5,경기도 의왕시 고천동
2020,20201209,2059,31.0,경기도 평택시 도일동 381-14,평택시,야영객취사,0,False,0.8,0.0,1.0,경기도 평택시 비전동
2020,20201209,1443,127.0,울산광역시 울주군 온산읍 삼평리 산147-13,울주군,쓰레기소각,0,False,3.925,0.0,2.0,울산광역시 울주군 삼동면 금곡리
2020,20201209,1328,62.0,부산광역시 해운대구 중동 산42-25,해운대구,산업현장실화(용접중불꽃),0,False,4.3,0.0,0.7,부산광역시 해운대구 우동
2020,20201209,1228,28.0,경기도 화성시 향남읍 길성리 산47-6,화성시,전기합선(도복목으로인한),0,False,2.6,0.0,2.4,경기도 화성시 서신면 백미리
2020,20201208,2037,143.0,강원도 홍천군 동면 속초리 산99,홍천군,화목보일러재처리부주의,0,False,-5.44,0.0,1.3199999999999998,(산지)강원특별자치도 홍천군 내면 명개리
2020,20201206,1300,60.0,울산광역시 남구 부곡동 산83-3,남구,입산자실화,0,False,8.0,0.0,2.0,울산광역시 남구 매암동
2020,20201206,1215,99.0,경상북도 경주시 양남면 상계리 산13,경주시,화목보일러재투기,0,False,3.06,0.0,1.92,경상북도 경주시 황성동
2020,20201205,1246,199.0,전라남도 순천시 해룡면 복성리 산130,순천시,화덕불씨취급부주의,0,False,3.25,0.0,1.5,전라남도 순천시 해룡면 대안리
2020,20201204,1309,141.0,경상북도 고령군 다산면 벌지리 산24,고령군,농산폐기물소각,0,False,-0.4,0.0,0.6,경상북도 고령군 고령읍 내곡리
